score,date,album,artist,reviewer,url
7.0,19 hrs ago,Luminosity Device,Surgeon,Louis Pattison,https://pitchfork.com/reviews/albums/surgeon-luminosity-device/
7.6,May 22 2018,Angels of Death,Jennifer Castle,Erin Osmon,https://pitchfork.com/reviews/albums/jennifer-castle-angels-of-death/
5.3,19 hrs ago,Reckless,Nav,Alphonse Pierre,https://pitchfork.com/reviews/albums/nav-reckless/
6.6,19 hrs ago,Harder Than Ever,Lil Baby,Evan Rytlewski,https://pitchfork.com/reviews/albums/lil-baby-harder-than-ever/
6.6,May 22 2018,Yesterday’s Tomorrows,Moomin,Philip Sherburne,https://pitchfork.com/reviews/albums/moomin-yesterdays-tomorrows/
7.8,19 hrs ago,Deeper Woods,Sarah Louise,Jesse Jarnow,https://pitchfork.com/reviews/albums/sarah-louise-deeper-woods/
7.1,May 21 2018,Saved,"Now, Now",Olivia Horn ,https://pitchfork.com/reviews/albums/now-now-saved/
7.4,May 22 2018,Tell Me How You Really Feel,Courtney Barnett,Laura Snapes,https://pitchfork.com/reviews/albums/courtney-barnett-tell-me-how-you-really-feel/
8.0,May 21 2018,Wide Awake!,Parquet Courts,Mike Powell,https://pitchfork.com/reviews/albums/parquet-courts-wide-awake/
7.1,May 21 2018,Happy Ending,Wax Idols,Sasha Geffen,https://pitchfork.com/reviews/albums/wax-idols-happy-ending/
7.9,May 22 2018,Deafman Glance,Ryley Walker,Sam Sodomsky,https://pitchfork.com/reviews/albums/ryley-walker-deafman-glance/
7.7,May 19 2018,Cannonball!,Sen Morimoto,Jonah Bromwich,https://pitchfork.com/reviews/albums/sen-morimoto-cannonball/
8.0,May 18 2018,Sparkle Hard,Stephen Malkmus and the Jicks,Evan Rytlewski,https://pitchfork.com/reviews/albums/stephen-malkmus-and-the-jicks-sparkle-hard/
6.5,May 21 2018,Wax Chattels,Wax Chattels,David Glickman,https://pitchfork.com/reviews/albums/wax-chattels-wax-chattels/
7.8,May 18 2018,Rausch,GAS,Daniel Martin-McCormick,https://pitchfork.com/reviews/albums/gas-rausch/
5.4,May 19 2018,Everything Matters But No One Is Listening,Quiet Slang,Ian Cohen,https://pitchfork.com/reviews/albums/quiet-slang-everything-matters-but-no-one-is-listening/
7.2,May 19 2018,Buck Meek,Buck Meek,Allison Hussey,https://pitchfork.com/reviews/albums/buck-meek-buck-meek/
6.5,May 17 2018,Period,City Girls,Claire Lobenfeld,https://pitchfork.com/reviews/albums/city-girls-period/
8.6,May 17 2018,Compro,Skee Mask,Ezra Marcus,https://pitchfork.com/reviews/albums/skee-mask-compro/
7.8,May 18 2018,Hundreds of Days,Mary Lattimore,Kevin Lozano,https://pitchfork.com/reviews/albums/mary-lattimore-hundreds-of-days/
7.5,May 18 2018,Letters of Irrelevance,Patrick Paige II,Jackson Howard,https://pitchfork.com/reviews/albums/patrick-paige-ii-letters-of-irrelevance/
9.0,May 20 2018,Spirit in the Dark,Aretha Franklin,Nick Marino,https://pitchfork.com/reviews/albums/aretha-franklin-spirit-in-the-dark/
9.5,May 19 2018,Tunnel of Love,"Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen",Sam Sodomsky,https://pitchfork.com/reviews/albums/bruce-springsteen-the-album-collection-vol-2-1987-1996/
6.9,May 16 2018,In the Rainbow Rain,Okkervil River,Brad Shoup,https://pitchfork.com/reviews/albums/okkervil-river-in-the-rainbow-rain/
6.8,May 16 2018,Mark Kozelek,Mark Kozelek,Ian Cohen,https://pitchfork.com/reviews/albums/mark-kozelek-mark-kozelek/
8.5,May 16 2018,Die Lit,Playboi Carti,Evan Rytlewski,https://pitchfork.com/reviews/albums/playboi-carti-die-lit/
7.3,May 17 2018,To Drink From the Night Itself,At the Gates,Andy O'Connor,https://pitchfork.com/reviews/albums/at-the-gates-to-drink-from-the-night-itself/
7.7,May 18 2018,Violet Psalms,Frog Eyes,Calum Marsh,https://pitchfork.com/reviews/albums/frog-eyes-violet-psalms/
8.1,May 14 2018,Tranquility Base Hotel & Casino,Arctic Monkeys,Jazz Monroe,https://pitchfork.com/reviews/albums/arctic-monkeys-tranquility-base-hotel-and-casino/
7.3,May 15 2018,Kiss Yr Frenemies,Illuminati Hotties,Larry Fitzmaurice,https://pitchfork.com/reviews/albums/illuminati-hotties-kiss-yr-frenemies/
7.8,May 15 2018,"I Have Fought Against It, But I Can’t Any Longer.",The Body,Nina Mashurova,https://pitchfork.com/reviews/albums/the-body-i-have-fought-against-it-but-i-cant-any-longer/
7.5,May 15 2018,NORF: The Legend of Hotboy Ronald,Lorde Fredd33,Mehan Jayasuriya,https://pitchfork.com/reviews/albums/lorde-fredd33-norf-the-legend-of-hotboy-ronald/
6.4,May 14 2018,Activated,Tee Grizzley,Brian Josephs,https://pitchfork.com/reviews/albums/tee-grizzley-activated/
8.2,May 15 2018,NTS Sessions 1-4,Autechre,Andrew Nosnitsky,https://pitchfork.com/reviews/albums/autechre-nts-sessions-1-4/
7.6,May 16 2018,Failed Celestial Creatures,"David Grubbs,Taku Unami",Philip Sherburne,https://pitchfork.com/reviews/albums/david-grubbs-taku-unami-failed-celestial-creatures/
6.8,May 17 2018,Faminine Mystique,"oOoOO, Islamiq Grrrls",Chal Ravens,https://pitchfork.com/reviews/albums/ooooo-islamiq-grrrls-faminine-mystique/
7.4,May 12 2018,Baylor Swift,Bali Baby,Sheldon Pearce,https://pitchfork.com/reviews/albums/bali-baby-baylor-swift/
7.5,May 12 2018,Any Day,The Sea and Cake,Stuart Berman,https://pitchfork.com/reviews/albums/the-sea-and-cake-any-day/
8.9,May 11 2018,7,Beach House,Jayson Greene,https://pitchfork.com/reviews/albums/beach-house-7/
7.9,May 12 2018,Beware the Book of Eli,Ski Mask the Slump God,Dean Van Nguyen,https://pitchfork.com/reviews/albums/ski-mask-the-slump-god-beware-the-book-of-eli/
7.5,May 12 2018,Marely Barch,Barely March,Ian Cohen,https://pitchfork.com/reviews/albums/barely-march-marely-barch/
9.4,May 13 2018,Time Out of Mind,Bob Dylan,Grayson Haver Currin,https://pitchfork.com/reviews/albums/bob-dylan-time-out-of-mind/
7.5,May 11 2018,Murmurations,Simian Mobile Disco,Larry Fitzmaurice,https://pitchfork.com/reviews/albums/simian-mobile-disco-murmurations/
7.5,May 11 2018,JP3,Junglepussy,Jackson Howard,https://pitchfork.com/reviews/albums/junglepussy-jp3/
7.5,May 14 2018,On Watch,Slow Mass,Ian Cohen,https://pitchfork.com/reviews/albums/slow-mass-on-watch/
7.7,May 14 2018,O,Ssion,Cameron Cook,https://pitchfork.com/reviews/albums/ssion-o/
7.0,May 11 2018,Fall in Love EP,Lucas,Mehan Jayasuriya,https://pitchfork.com/reviews/albums/lucas-fall-in-love-ep/
7.7,May 10 2018,Simi,BlocBoy JB ,Paul A. Thompson,https://pitchfork.com/reviews/albums/blocboy-jb-simi/
8.0,May 10 2018,The Horizon Just Laughed,Damien Jurado,Grayson Haver Currin,https://pitchfork.com/reviews/albums/damien-jurado-the-horizon-just-laughed/
8.0,May 9 2018,Conexão EP,Amber Mark ,Jamieson Cox,https://pitchfork.com/reviews/albums/amber-mark-conexao-ep/
8.3,May 10 2018,Singularity,Jon Hopkins,Brian Howe,https://pitchfork.com/reviews/albums/jon-hopkins-singularity/
7.4,May 11 2018,DNA Feelings,Aïsha Devi,Sasha Geffen,https://pitchfork.com/reviews/albums/aisha-devi-dna-feelings/
4.6,May 9 2018,L.O.D. EP,Desiigner,Torii MacAdams,https://pitchfork.com/reviews/albums/desiigner-lod-ep/
7.2,May 8 2018,Good Thing,Leon Bridges,Olivia Horn ,https://pitchfork.com/reviews/albums/leon-bridges-good-thing/
6.9,May 8 2018,Mixtape,Jacques Greene,Megan Buerger,https://pitchfork.com/reviews/albums/jacques-greene-mixtape/
8.1,May 8 2018,SR3MM ,"Rae Sremmurd,Swae Lee,Slim Jxmmi",Sheldon Pearce,https://pitchfork.com/reviews/albums/rae-sremmurd-swae-lee-slim-jxmmi-sr3mm/
7.9,May 10 2018,Downtown Castles Can Never Block the Sun,Ben LaMar Gay,Andy Beta,https://pitchfork.com/reviews/albums/ben-lamar-gay-downtown-castles-can-never-block-the-sun/
7.1,May 9 2018,Appreciation,Horse Feathers,Max Savage Levenson,https://pitchfork.com/reviews/albums/horse-feathers-appreciation/
6.9,May 9 2018,Until Death Call My Name,YoungBoy Never Broke Again,Sheldon Pearce,https://pitchfork.com/reviews/albums/youngboy-never-broke-again-until-death-call-my-name/
8.6,May 7 2018,Beyondless,Iceage,Jenn Pelly,https://pitchfork.com/reviews/albums/iceage-beyondless/
7.2,May 8 2018,DOVE,Belly,Alfred Soto,https://pitchfork.com/reviews/albums/belly-dove/
6.9,May 5 2018,Venetian Snares x Daniel Lanois,"Venetian Snares,Daniel Lanois",Andy Beta,https://pitchfork.com/reviews/albums/venetian-snares-daniel-lanois-venetian-snares-x-daniel-lanois/
7.4,May 4 2018,Chiquito EP,Cuco,Evan Rytlewski,https://pitchfork.com/reviews/albums/cuco-chiquito-ep/
8.8,May 4 2018,Knock Knock,DJ Koze,Mark Richardson,https://pitchfork.com/reviews/albums/dj-koze-knock-knock/
