album,artist,bnm,bnr,date,reviewer,score,url
Super Fly,Curtis Mayfield,0,0,18 hrs ago,Mychal Denzel Smith,9.1,https://pitchfork.com/reviews/albums/curtis-mayfield-super-fly/
OIL OF EVERY PEARL’s UN-INSIDES,SOPHIE,1,0,June 15 2018,Sasha Geffen,8.6,https://pitchfork.com/reviews/albums/sophie-oil-of-every-pearls-un-insides/
The Graduate (Original Motion Picture Soundtrack),"Simon & Garfunkel,Dave Grusin",0,0,June 16 2018,Stephen M. Deusner,6.2,https://pitchfork.com/reviews/albums/simon-and-garfunkel-dave-grusin-the-graduate-original-motion-picture-soundtrack/
Stranger Fruit,Zeal & Ardor,0,0,June 16 2018,Grayson Haver Currin,7.3,https://pitchfork.com/reviews/albums/zeal-and-ardor-stranger-fruit/
Devotion,Laura Jean,0,0,June 15 2018,Olivia Horn ,6.8,https://pitchfork.com/reviews/albums/laura-jean-devotion/
Come Tomorrow,Dave Matthews Band,0,0,June 16 2018,Jason P. Woodbury,5.0,https://pitchfork.com/reviews/albums/dave-matthews-band-come-tomorrow/
soil,serpentwithfeet,0,0,June 14 2018,Sasha Geffen,8.1,https://pitchfork.com/reviews/albums/serpentwithfeet-soil/
Hope Downs,Rolling Blackouts Coastal Fever,0,0,June 15 2018,Stuart Berman,8.1,https://pitchfork.com/reviews/albums/rolling-blackouts-coastal-fever-hope-downs/
Showtime EP,Baba Stiltz,0,0,June 15 2018,Philip Sherburne,6.9,https://pitchfork.com/reviews/albums/baba-stiltz-showtime-ep/
The Midnight Hour,"Ali Shaheed Muhammad,Adrian Younge",0,0,June 14 2018,Brian Josephs,6.7,https://pitchfork.com/reviews/albums/ali-shaheed-muhammad-adrian-younge-the-midnight-hour/
Consolation EP,Protomartyr,0,0,June 15 2018,Jenn Pelly,7.7,https://pitchfork.com/reviews/albums/protomartyr-consolation-ep/
Hereditary (Original Motion Picture Soundtrack),Colin Stetson,0,0,June 16 2018,Zach Kelly,7.6,https://pitchfork.com/reviews/albums/colin-stetson-hereditary-original-motion-picture-soundtrack/
Lost & Found,Jorja Smith ,0,0,June 12 2018,Jackson Howard,8.1,https://pitchfork.com/reviews/albums/jorja-smith-lost-and-found/
Mental Wounds Not Healing,"Uniform,The Body",0,0,June 14 2018,Larry Fitzmaurice,7.8,https://pitchfork.com/reviews/albums/uniform-the-body-mental-wounds-not-healing/
Remain in Light,Angélique Kidjo,0,0,June 14 2018,Andy Beta,7.7,https://pitchfork.com/reviews/albums/angelique-kidjo-remain-in-light/
so sad so sexy,Lykke Li,0,0,June 13 2018,Stacey Anderson,6.4,https://pitchfork.com/reviews/albums/lykke-li-so-sad-so-sexy/
No Shame,Lily Allen,0,0,June 13 2018,Madison Bloom,6.3,https://pitchfork.com/reviews/albums/lily-allen-no-shame/
Whack World,Tierra Whack,1,0,June 12 2018,Briana Younger,8.3,https://pitchfork.com/reviews/albums/tierra-whack-whack-world/
IRISIRI,Eartheater,0,0,June 13 2018,Sasha Geffen,7.4,https://pitchfork.com/reviews/albums/eartheater-irisiri/
Bruce Wayne,Fetty Wap,0,0,June 13 2018,Sheldon Pearce,5.4,https://pitchfork.com/reviews/albums/fetty-wap-bruce-wayne/
Insula,Proc Fiskal ,0,0,June 11 2018,Chal Ravens,7.9,https://pitchfork.com/reviews/albums/proc-fiskal-insula/
Roach Goin’ Down,Palberta,0,0,June 12 2018,Marc Masters,7.8,https://pitchfork.com/reviews/albums/palberta-roach-goin-down/
Kids See Ghosts,"Kanye West,Kid Cudi",0,0,June 11 2018,Jayson Greene,7.6,https://pitchfork.com/reviews/albums/kanye-west-kid-cudi-kids-see-ghosts/
Constant Image,Flasher,0,0,June 12 2018,Ian Cohen,7.9,https://pitchfork.com/reviews/albums/flasher-constant-image/
Shannon in Nashville,Shannon Shaw,0,0,June 11 2018,Jenn Pelly,7.5,https://pitchfork.com/reviews/albums/shannon-shaw-shannon-in-nashville/
The Band,The Band,0,0,June 10 2018,Steven Hyden,10,https://pitchfork.com/reviews/albums/the-band-the-band/
Childqueen,Kadhja Bonet,0,0,June 11 2018,Stephen Kearse,7.7,https://pitchfork.com/reviews/albums/kadhja-bonet-childqueen/
Lightlessness Is Nothing New,Maps & Atlases,0,0,June 9 2018,Amanda Wicks,7.0,https://pitchfork.com/reviews/albums/maps-and-atlases-lightlessness-is-nothing-new/
Kicker EP,The Get Up Kids,0,0,June 9 2018,Ian Cohen,6.7,https://pitchfork.com/reviews/albums/the-get-up-kids-kicker-ep/
3rd Ward Bounce EP,Big Freedia,0,0,June 9 2018,Karas Lamb,6.1,https://pitchfork.com/reviews/albums/big-freedia-3rd-ward-bounce-ep/
Listening to Pictures (Pentimento Volume One),Jon Hassell,0,0,June 8 2018,Robert Ham,7.3,https://pitchfork.com/reviews/albums/jon-hassell-listening-to-pictures-pentimento-volume-one/
An ASMR Album,Brandon Wardell,0,0,June 9 2018,Larry Fitzmaurice,5.7,https://pitchfork.com/reviews/albums/brandon-wardell-an-asmr-album/
LUMP,LUMP,0,0,June 8 2018,Madison Bloom,7.7,https://pitchfork.com/reviews/albums/lump-lump/
Both,Okay Kaya,0,0,June 8 2018,Maya-Roisin Slater,7.0,https://pitchfork.com/reviews/albums/okay-kaya-both/
Our Raw Heart,YOB,0,0,June 8 2018,Andy O'Connor,8.0,https://pitchfork.com/reviews/albums/yob-our-raw-heart/
Lush,Snail Mail,1,0,June 8 2018,Ryan Dombal,8.7,https://pitchfork.com/reviews/albums/snail-mail-lush/
Sacrifices,Prefuse 73,0,0,June 5 2018,Mehan Jayasuriya,5.9,https://pitchfork.com/reviews/albums/prefuse-73-sacrifices/
Winning Star Champion,Ruler,0,0,June 5 2018,Larry Fitzmaurice,7.1,https://pitchfork.com/reviews/albums/ruler-winning-star-champion/
"Streams of Thought, Vol. 1",Black Thought ,0,0,June 6 2018,Brian Josephs,7.5,https://pitchfork.com/reviews/albums/black-thought-streams-of-thought-vol-1/
Prequelle,Ghost,0,0,June 7 2018,Zoe Camp,6.1,https://pitchfork.com/reviews/albums/ghost-prequelle/
The Future and the Past,Natalie Prass,0,0,June 7 2018,Olivia Horn ,7.7,https://pitchfork.com/reviews/albums/natalie-prass-the-future-and-the-past/
Patina Echoes,,0,0,June 6 2018,Philip Sherburne,7.8,https://pitchfork.com/reviews/albums/various-artists-patina-echoes/
Stereo EP,Omar Apollo ,0,0,June 7 2018,Briana Younger,6.8,https://pitchfork.com/reviews/albums/omar-apollo-stereo-ep/
