album,artist,bnm,bnr,date,reviewer,score,url
4275,Jacquees,0,0,21 hrs ago,Jay Balfour,6.9,https://pitchfork.com/reviews/albums/jacquees-4275/
Call the Comet,Johnny Marr,0,0,June 21 2018,Stephen Thomas Erlewine,6.0,https://pitchfork.com/reviews/albums/johnny-marr-call-the-comet/
Sorpresa Familia,Mourn,0,0,June 21 2018,Larry Fitzmaurice,7.7,https://pitchfork.com/reviews/albums/mourn-sorpresa-familia/
Heaven and Earth,Kamasi Washington,1,0,21 hrs ago,Nate Chinen,8.8,https://pitchfork.com/reviews/albums/kamasi-washington-heaven-and-earth/
Lower East Suite Part Three,Onyx Collective,0,0,21 hrs ago,Jay Balfour,7.6,https://pitchfork.com/reviews/albums/onyx-collective-lower-east-suite-part-three/
Nasty,Rico Nasty,0,0,June 21 2018,Sheldon Pearce,8.0,https://pitchfork.com/reviews/albums/rico-nasty-nasty/
Déjàvu,Matty,0,0,June 21 2018,Jonah Bromwich,6.6,https://pitchfork.com/reviews/albums/matty-dejavu/
June,Brendon Anderegg,0,0,21 hrs ago,Philip Sherburne,7.4,https://pitchfork.com/reviews/albums/brendon-anderegg-june/
Nasir,Nas,0,0,June 20 2018,Stephen Kearse,6.1,https://pitchfork.com/reviews/albums/nas-nasir/
Liberation,Christina Aguilera,0,0,June 20 2018,Claire Lobenfeld,6.7,https://pitchfork.com/reviews/albums/christina-aguilera-liberation/
Nothing Is Still,Leon Vynehall,0,0,June 20 2018,Jamieson Cox,8.2,https://pitchfork.com/reviews/albums/leon-vynehall-nothing-is-still/
Moodie EP,Yuno,0,0,21 hrs ago,Margaret Farrell,7.4,https://pitchfork.com/reviews/albums/yuno-moodie-ep/
Cloud Corner,Marisa Anderson,0,0,June 19 2018,Grayson Haver Currin,7.8,https://pitchfork.com/reviews/albums/marisa-anderson-cloud-corner/
Super Fly,Curtis Mayfield,0,0,June 17 2018,Mychal Denzel Smith,9.1,https://pitchfork.com/reviews/albums/curtis-mayfield-super-fly/
New Bodies,Tangents,0,0,June 18 2018,Grayson Haver Currin,7.9,https://pitchfork.com/reviews/albums/tangents-new-bodies/
"Home Boy, Sister Out",Don Cherry,0,0,June 18 2018,Daniel Martin-McCormick,6.0,https://pitchfork.com/reviews/albums/don-cherry-home-boy-sister-out/
Ecstatic Arrow,Virginia Wing,0,0,June 19 2018,Laura Snapes,7.8,https://pitchfork.com/reviews/albums/virginia-wing-ecstatic-arrow/
Collagically Speaking,R+R=NOW,0,0,June 19 2018,Marcus J. Moore,7.0,https://pitchfork.com/reviews/albums/rrnow-collagically-speaking/
Make My Bed EP,King Princess,0,0,June 18 2018,Jackson Howard,7.1,https://pitchfork.com/reviews/albums/king-princess-make-my-bed-ep/
